Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-04-25T19:55:00Z,"META",2019-04-30T19:55:00Z,Buy,192.112416594,191.536932648,505,-290.62,5.05,-1924.1,1858.96,2510.35,0,"	123,124" 
2019-04-30T19:55:00Z,"MSFT",2019-05-01T19:55:00Z,Buy,122.26914126,119.95350885,791,-1831.67,7.91,-1831.67,133.48,1965.15,0,"	125,126" 
2019-05-01T19:55:00Z,"AAPL",2019-05-03T19:55:00Z,Buy,50.3061866055,50.413378158,1887,202.27,18.87,-1254.08,584.34,1838.41,1,"	127,128" 
2019-05-03T19:55:00Z,"AMZN",2019-05-06T19:55:00Z,Buy,97.880831594,97.443360315,971,-424.78,9.71,-2220.31,56.19,2276.5,0,"	129,130" 
2019-05-06T19:55:00Z,"META",2019-05-08T19:55:00Z,Buy,192.449769252,188.282471712,492,-2050.31,4.92,-2953.42,0,2953.42,0,"	131,132" 
2019-05-08T19:55:00Z,"AMZN",2019-05-09T19:55:00Z,Buy,95.83464324,94.700310642,966,-1095.77,9.66,-2150.09,0,2150.09,0,"	133,134" 
2019-05-09T19:55:00Z,"TSLA",2019-05-13T19:55:00Z,Buy,16.0979983902,15.1453318188,5455,-5196.8,54.55,-6109.6,185.47,6295.07,0,"	135,136" 
2019-05-13T19:55:00Z,"UUP",2019-05-15T19:55:00Z,Buy,22.10211075,22.1612751,3903,230.92,39.03,0,362.87,197.93,1,"	137,138" 
2019-05-15T19:55:00Z,"MSFT",2019-05-30T19:55:00Z,Buy,118.572045533,118.101558883,729,-342.98,7.29,-1282.76,3004.55,4287.31,0,"	139,140" 
2019-05-30T19:55:00Z,"UUP",2019-06-03T19:55:00Z,Buy,22.33876815,22.11901485,3854,-846.93,38.54,-912.08,0,912.08,0,"	141,142" 
